rank,tier,brand,parent_entity,category,key_products,channel_mix,fiscal_year,revenue_inr_cr,pat_bottomline_inr_cr,pat_margin_pct,ebitda_inr_cr,ebitda_margin_pct,profitability_status,data_confidence,est_aov_inr,est_purchase_freq_per_year,gross_up_factor,est_orders_per_year,est_orders_per_month,est_unique_customers_per_year,est_unique_customers_per_year_range,est_active_customers_per_month,disclosed_customer_metric,notes,source_urls
52,B - Profitable with caveat,Raw Pressery,Rakyan Beverages Pvt Ltd,Food & beverage,"Cold-pressed juices, smoothies, coconut water",Modern trade + quick-commerce + online,FY25,154.2,8.30,5.4,23.8,15.4,PAT positive - single source (Inc42),Low,120,10,1.45,18632000,1553000,1863000,1118000-2795000,1553000,,Orders = retail consumer transactions.,https://inc42.com/company/raw-pressery/financials/
53,B - Profitable with caveat,Loom Solar,Loom Solar Pvt Ltd,Energy & electronics,"Solar panels, inverters, lithium batteries for homes",Own site + marketplaces + dealer network,FY24,151.5,9.00,5.9,14.1,9.3,PAT positive FY24 (latest found),Medium,25000,1.02,1.2,73000,6100,71000,43000-107000,6100,,,https://entrackr.com/fintrackr/loom-solar-surpasses-rs-150-cr-revenue-in-fy24-profits-triple-8845840
54,B - Profitable with caveat,Dr Trust,Nureca Ltd (listed),Health devices,"BP monitors, glucometers, oximeters, massagers, fitness devices",Marketplace-led + own site,FY26,147.0,2.00,1.4,0.0,0.0,PAT positive only via other income (EBITDA ~0),High,1800,1.2,1.15,939000,78000,783000,470000-1174000,78000,,Discovery source shows PAT ~0.3 Cr.,https://www.screener.in/company/NURECA/consolidated/ | https://www.screener.in/company/NURECA/
55,B - Profitable with caveat,Boldfit,Bling Brands Pvt Ltd,Fitness & nutrition,"Gym accessories, yoga mats, resistance bands, supplements",Amazon-led + own site,FY25*,139.7,16.81,12.0,,,PAT positive - fiscal year uncertain (may be FY24),Medium,700,1.8,1.15,2295000,191000,1275000,765000-1913000,191000,,,https://www.whalesbook.com/news/English/startupsvc/Boldfit-Seeks-dollar100-Million-Funding-at-indian-rupee4000-Crore-Valuation/6a7c0d436ffbe1e6461455cc
56,B - Profitable with caveat,Kiaasa,Kiaasa Retail Ltd (NSE SME),Fashion & apparel,"Women's ethnic wear - kurtas, suits, dupattas",Store-led + online,FY26,135.0,11.00,8.1,23.0,17.0,PAT positive - store-led,High,1800,1.6,1.12,840000,70000,525000,315000-788000,70000,,,https://www.screener.in/company/544711/
57,B - Profitable with caveat,Carbamide Forte,Novus Life Sciences Pvt Ltd,Health & nutrition,"Vitamins, multivitamins, biotin, omega-3 supplements",Amazon-led + own site,FY25,109.1,,,,,Profitable FY23; FY25 PAT paywalled,Low,900,3.0,1.15,1394000,116000,465000,279000-697000,116000,,,https://www.thecompanycheck.com/company/novus-life-sciences-private-limited/U24232MH2007PTC174821
58,B - Profitable with caveat,Nutrabay,Nutrabay Retail Pvt Ltd,Health & nutrition,"Sports nutrition (own label + multibrand), whey, creatine",Own app/web,FY24,99.0,1.22,1.2,2.3,2.3,PAT positive FY24 (latest found),Medium,2000,3.0,1.1,544000,45000,182000,109000-272000,45000,1.5M+ private-label customers; 15-20k new customers/month; claimed 3M monthly orders across channels,"Disclosed AOV ~Rs 2,000; 1.5M+ private-label customers; 15-20k new customers/month.",https://inc42.com/startups/how-nutrabay-became-an-inr-100-cr-profitable-brand-with-its-lean-frugal-playbook/
59,B - Profitable with caveat,Zoff Foods,Zoff Foods (entity per filings),Food & beverage,"Spices, masalas, dry fruits",Marketplace-led + own site,FY24,93.0,1.00,1.1,,,PAT positive FY24 (gross/claimed revenue),Low,450,3.0,1.15,2377000,198000,792000,475000-1188000,198000,,,https://inc42.com/features/d2c-brands-that-are-disrupting-indias-consumer-market/ ; https://entrackr.com/fintrackr/spice-brand-zoff-crosses-rs-100-cr-revenue-in-fy25-slips-into-losses-10939767
60,B - Profitable with caveat,Mars Cosmetics,Mars Cosmetics (entity per filings),Beauty & personal care,"Affordable makeup - lipsticks, kajal, eyeshadow palettes",Offline distribution + marketplaces,FY24,47.6,3.40,7.1,,,PAT positive FY24; low confidence (mgmt claims ~200 Cr revenue),Low,350,2.5,1.45,1972000,164000,789000,473000-1183000,164000,,,https://inc42.com/company/mars-cosmetics/financials/
61,B - Profitable with caveat,Palmonas,Palmonas (entity per filings),Fashion jewellery,"Demi-fine 18k gold-plated, waterproof jewellery",Own site + ~78 stores,FY25,39.0,4.30,11.0,,,PAT positive per one source; Inc42 shows 10.8 Cr revenue & small loss,Low,1800,1.5,1.1,238000,20000,159000,95000-238000,20000,78 stores (2026),Conflicting sources.,https://startuppedia.in/trending/startup-news/shraddha-kapoor-co-founded-demi-fine-jewellery-brand-palmonas-scales-to-rs-39-cr-revenue-in-fy25-reports-rs-43-cr-profit-11264933 | https://pulse.d2cinsider.com/palmonas-crosses-75-stores-and-targets-e2-82-b9750-crore-revenue-accelerates-omnichannel-growth-across-india/
62,B - Profitable with caveat,Blue Tea,Blue Tea (entity per filings),Food & beverage,"Butterfly-pea flower tea, herbal teas",Marketplaces + own site,FY25,37.0,,,,,Claimed profitable; PAT amount undisclosed,Low,500,2.5,1.15,851000,71000,340000,204000-511000,71000,"25 lakh+ consumers; ~5,200 units/day","Disclosed: 25 lakh+ consumers (cumulative), ~5,200 units/day.",https://entrackr.com/fintrackr/profitable-bootstrapped-d2c-brand-blue-tea-projects-rs-65-cr-sales-in-fy26-11167786
63,B - Profitable with caveat,Dogsee Chew,Dogsee Chew (entity per filings),Pet care,"Himalayan yak-cheese dog chews, pet treats",Marketplaces + own site + exports,FY25,35.6,-19.80,-55.6,-15.0,-42.1,Claims PAT-positive in FY26; FY25 filed loss,Low,600,4.0,1.15,682000,57000,171000,102000-256000,57000,,,https://inc42.com/company/dogsee-chew/financials/ | https://pulse.d2cinsider.com/dogsee-chew-eyes-e2-82-b9300-cr-fundraise-to-accelerate-global-expansion-and-build-indias-next-pet-wellness-powerhouse/
64,B - Profitable with caveat,Hammer,Hammer Lifestyle (entity per filings),Consumer electronics,"Earbuds, smartwatches, speakers",Marketplace-led + own site,FY23,24.4,0.60,2.5,1.0,4.1,PAT positive FY23 (stale),Low,1200,1.2,1.15,234000,19000,195000,117000-292000,19000,,,https://inc42.com/company/hammer/financials/
65,B - Profitable with caveat,Kyari,Kyari (entity per filings),Home & garden,"Indoor plants, planters, gardening kits",Own site + quick-commerce,FY26,20.0,,,,,Claimed profitable; PAT amount undisclosed,Low,800,2.0,1.15,287000,24000,144000,86000-216000,24000,10 lakh+ customers; ~25% revenue from repeat,Disclosed: 10 lakh+ customers; ~25% revenue from repeat.,https://pulse.d2cinsider.com/kyari-crosses-10-lakh-customers-achieves-profitability-targets-e2-82-b9100-crore-revenue-by-fy28/
66,B - Profitable with caveat,Jewelbox,Jewelbox (entity per filings),Fine jewellery,Lightweight 14k/18k gold & diamond jewellery,"~40% online, rest stores/B2B",FY24,14.3,1.60,11.2,,,PAT positive FY24; sub-20 Cr scale,Medium,15000,1.2,1.03,9800,800,8200,4900-12000,800,~40% of orders online,,https://pulse.d2cinsider.com/jewelbox-has-secured-3-2-million-approximately-27-crore-in-a-pre-series-a-funding-round-led-by-v3-ventures/
67,B - Profitable with caveat,Tjori,Tjori (entity per filings),Fashion & home,"Ethnic apparel, home décor, handcrafted accessories",Own site + marketplaces,FY25,6.1,0.03,0.4,0.6,9.8,PAT positive (breakeven; very small),Medium,1500,1.5,1.15,47000,3900,31000,19000-47000,3900,,,https://inc42.com/company/tjori/financials/
68,C - Profit-adjacent (proxy),Country Delight,SKI Business Services Pvt Ltd (per filings),Dairy & fresh,"Milk, dairy, fresh produce, staples - daily subscription",Own app subscription,FY24,1380.0,,,,,PAT not found; FY23 loss 249 Cr - reported EBITDA-positive trajectory,Low,250,60,1.05,57960000,4830000,966000,580000-1449000,966000,"5M+ orders/month; 6,000 delivery workers (Forbes 2022 via Wikipedia)",Disclosed (2022): 5M+ orders/month.,https://en.wikipedia.org/wiki/Country_Delight|https://www.thearcweb.com/article/fy24-country-delights-revenue-jumps-46-to-rs-1380-cr-wm80VNjkrdQ6eVfD
69,C - Profit-adjacent (proxy),"Mosaic Wellness (Man Matters, Be Bodywise, Little Joys)",Mosaic Wellness Pvt Ltd,Health & wellness,"Hair-loss & sexual wellness (Man Matters), women's health (Be Bodywise), kids nutrition (Little Joys)",Own apps/web + marketplaces,FY25,736.0,-12.00,-1.6,-7.5,-1.0,Near-breakeven FY25; reportedly turned profitable in FY26 (unaudited),Medium,900,2.5,1.15,9404000,784000,3762000,2257000-5643000,784000,,,https://entrackr.com/fintrackr/mosaic-wellness-revenue-doubles-to-rs-736-cr-in-fy25-nears-break-even-10787380
70,C - Profit-adjacent (proxy),Portronics,Portronics Digital Pvt Ltd (per filings),Consumer electronics,"Power banks, chargers, speakers, keyboards, mobile accessories",Marketplace-led + offline + own site; bootstrapped,FY25,713.6,,,,,"PAT paywalled; bootstrapped, historically profitable",Low,900,1.3,1.25,9911000,826000,7624000,4574000-11436000,826000,,,https://www.thecompanycheck.com/company/portronics-digital-private-limited/U74140DL2010PTC203767
71,C - Profit-adjacent (proxy),Paper Boat,Hector Beverages Pvt Ltd,Food & beverage,"Ethnic juices & drinks (aam panna, kokum), Paper Boat Swing",Distributor-led + modern trade + quick-commerce,FY25,668.3,-48.25,-7.2,,,"Disputed: Entrackr shows -48 Cr loss, BW Retail shows +46 Cr profit",Low,30,20,1.45,323002000,26917000,16150000,9690000-24225000,16150000,,,https://entrackr.com/fintrackr/paper-boat-posts-rs-668-cr-revenue-in-fy25-narrows-losses-by-24-10519587
72,C - Profit-adjacent (proxy),Bombay Shaving Company,Bombay Shaving Company Pvt Ltd,Men's & women's grooming,"Razors, shaving kits, beard care, Bombae women's grooming",Marketplaces + own site + offline,FY26,635.0,-9.00,-1.4,2.0,0.3,Adjusted EBITDA positive (2 Cr); PAT loss 9 Cr,High,500,2.5,1.3,16510000,1376000,6604000,3962000-9906000,1376000,,,https://entrackr.com/fintrackr/bombay-shaving-company-revenue-jumps-to-rs-635-cr-in-fy26-nears-break-even-12201254
73,C - Profit-adjacent (proxy),Libas,Zivore Apparel Pvt Ltd,Fashion & apparel,"Women's ethnic wear - kurtas, suit sets, co-ords","Own app/web ~40-45%, marketplaces, stores",FY25,609.1,-16.50,-2.7,,,Near-breakeven loss (-2.7% margin); earlier years profitable,Medium,1300,1.8,1.12,5248000,437000,2915000,1749000-4373000,437000,,Not the same company as listed Libas Consumer Products Ltd.,https://inc42.com/startups/libas-next-big-thing-after-hitting-the-%E2%82%B9600-cr-revenue-mark/
74,C - Profit-adjacent (proxy),Lifelong,Lifelong Online Retail Pvt Ltd,Home appliances & fitness,"Mixer grinders, kitchen appliances, treadmills, fitness equipment",Amazon-led + own site,FY25,540.5,,,,,"PAT paywalled; bootstrapped, historically profitable",Low,2500,1.15,1.15,2486000,207000,2162000,1297000-3243000,207000,,,https://www.thecompanycheck.com/company/lifelong-online-retail-private-limited/U52100DL2015PTC287393
75,C - Profit-adjacent (proxy),Dot & Key,Dot & Key Wellness (Nykaa subsidiary),Beauty & personal care,"Sunscreens, vitamin C, watermelon & ceramide skincare",Nykaa + marketplaces + quick-commerce + own site,FY25,529.0,,,74.0,14.0,14% EBITDA margin; PAT not disclosed (very likely positive),Medium,650,2.2,1.25,10173000,848000,4624000,2774000-6936000,848000,,,https://inc42.com/startups/how-dot-key-scaled-to-inr-529-cr-minted-profits-in-a-hyper-competitive-skincare-market/
76,C - Profit-adjacent (proxy),Swiss Beauty,Swiss Beauty Cosmetics Pvt Ltd,Beauty & personal care,"Affordable colour cosmetics - primers, foundations, lip colours",Offline-heavy + marketplaces,FY25,382.7,,,,,FY25 PAT paywalled; FY23 PAT 36.4 Cr on 196.5 Cr,Low,400,2.5,1.45,13873000,1156000,5549000,3329000-8324000,1156000,,,https://www.thecompanycheck.com/company/swiss-beauty-cosmetics-private-limited/U24290DL2021PTC380307
77,C - Profit-adjacent (proxy),Kushal's Fashion Jewellery,Kushal's Retail Pvt Ltd (per filings),Fashion jewellery,"Fashion & silver jewellery, accessories",Store-led (100+ stores) + own site,FY25,330.0,,,,,PAT paywalled; reported profitable historically,Low,1800,1.5,1.05,1925000,160000,1283000,770000-1925000,160000,100+ stores,,https://tracxn.com/d/legal-entities/india/kushals-retail-private-limited/__WPcT2tIO1OjXrYyKwxODyOg6PT8UaRJc8V2xPtTxv20
78,C - Profit-adjacent (proxy),Happilo,Happilo International Pvt Ltd,Food & beverage,"Dry fruits, nuts, trail mixes, seeds, chocolates",Marketplaces + modern trade + quick-commerce,FY25,280.0,-9.50,-3.4,3.0,1.1,EBITDA positive (3 Cr); PAT loss,Medium,600,3.0,1.35,6300000,525000,2100000,1260000-3150000,525000,,,https://entrackr.com/fintrackr/happilos-topline-contracts-15-to-rs-280-cr-in-fy25-cuts-losses-by-93-11132455
79,C - Profit-adjacent (proxy),OZiva,Zywie Ventures Pvt Ltd (HUL),Health & nutrition,"Plant-based protein, collagen builders, women's nutrition",Own site + marketplaces + offline,FY25,260.9,-4.50,-1.7,-3.4,-1.3,Near-breakeven loss (-1.7%),Medium,1200,2.5,1.2,2609000,217000,1044000,626000-1565000,217000,,,https://inc42.com/company/oziva/financials/
80,C - Profit-adjacent (proxy),Heads Up For Tails,Heads Up For Tails (Joopy),Pet care,"Pet food, treats, accessories, grooming & spa",~100 stores + own app/web,FY25,236.8,-3.30,-1.4,4.8,2.0,EBITDA positive; small PAT loss,Medium,1800,4.0,1.12,1473000,123000,368000,221000-553000,123000,,,https://inc42.com/company/heads-up-for-tails/financials/
81,C - Profit-adjacent (proxy),Ambrane,Ambrane India Pvt Ltd (per filings),Consumer electronics,"Power banks, chargers, cables, smartwatches",Marketplace-led + offline,FY24,230.0,,,,,Founder claim of profitability; filed PAT not found,Low,900,1.3,1.25,3194000,266000,2457000,1474000-3686000,266000,,Revenue approximate (founder).,https://www.businesstoday.in/technology/news/story/from-india-to-the-world-ambrane-eyes-rs-500-crore-revenue-target-by-fy25-26-rs-100-crore-from-global-markets-412390-2024-01-09
82,C - Profit-adjacent (proxy),Just Herbs,Just Herbs (Marico majority),Beauty & personal care,"Ayurvedic skincare, makeup, haircare",Own site + marketplaces + Marico distribution,FY25,200.0,,,,,Profit status unconfirmed; revenue may be run-rate,Low,800,2.2,1.2,3000000,250000,1364000,818000-2045000,250000,,,https://inc42.com/startups/how-just-herbs-grew-5x-to-hit-inr-100-cr-revenue-mark-in-3-years-post-marico-takeover/
83,C - Profit-adjacent (proxy),Fast&Up,Aeronutrix Sports Products Pvt Ltd,Health & nutrition,"Effervescent electrolytes, vitamins, sports nutrition",Offline + marketplaces + own site,FY24,188.0,,,,,PAT not found,Low,800,3.0,1.3,3055000,255000,1018000,611000-1528000,255000,,,https://inc42.com/fast42/fastup/
84,C - Profit-adjacent (proxy),Sukkhi,Sukkhi (entity per filings),Fashion jewellery,Fashion & bridal imitation jewellery,Marketplace-led,FY25,145.7,,,,,PAT paywalled; historically profitable,Low,700,1.5,1.15,2394000,199000,1596000,957000-2394000,199000,60 lakh+ consumers claimed,Claims 60 lakh+ consumers (cumulative).,https://inc42.com/company/sukkhi-jewellery/
85,C - Profit-adjacent (proxy),Kama Ayurveda,Kama Ayurveda Pvt Ltd (Puig majority),Beauty & personal care,"Luxury Ayurvedic skincare, hair oils, bath & body",Stores + own site + Nykaa,FY25,141.0,,,,,PAT not found; Puig-owned premium brand,Low,2500,2.0,1.15,649000,54000,324000,195000-486000,54000,,,https://ecdb.com/resources/sample-data/retailer/kamaayurveda
86,C - Profit-adjacent (proxy),FabAlley / Indya,Tsg (entity per filings),Fashion & apparel,Western (FabAlley) and ethnic (Indya) womenswear,Own site + marketplaces + stores,FY25,122.0,,,,,PAT not found,Low,1600,1.6,1.12,854000,71000,534000,320000-801000,71000,,,https://tracxn.com/d/legal-entities/india/high-street-essentials-private-limited/__HGBmcraEUJYMIlVeaLP5NA3VZtEmV7MYhKns_aSC_As ; https://entrackr.com/2024/03/faballey-and-indya-parent-posts-rs-185-cr-revenue-and-rs-45-cr-loss-in-fy23/
87,C - Profit-adjacent (proxy),House of Masaba,House of Masaba Lifestyle (Nykaa subsidiary),Fashion & beauty,"Designer apparel, Lovechild beauty, jewellery",Stores + own site + Nykaa,FY25,115.9,,,,,PAT not found,Low,3500,1.5,1.12,371000,31000,247000,148000-371000,31000,,,https://www.thecompanycheck.com/company/house-of-masaba-lifestyle-private-limited/U74110MH2014PTC257909
88,C - Profit-adjacent (proxy),Pure Home + Living,Pure Home + Living (entity per filings),Home décor,"Tableware, décor, soft furnishings, lighting",Stores + own site,FY25,108.0,,,,,PAT paywalled,Low,3000,1.3,1.12,403000,34000,310000,186000-465000,34000,,,https://www.tofler.in/pure-home-and-living-private-limited/company/U45201DL2006PTC147368
89,C - Profit-adjacent (proxy),Two Brothers Organic Farms,Two Brothers Organic Farms (entity per filings),Food & beverage,"A2 cow ghee, jaggery, stone-ground flours, organic staples",Own site (+exports) + marketplaces,FY25,98.6,,,,,PAT not found; bootstrapped,Low,1800,3.0,1.15,630000,52000,210000,126000-315000,52000,,,https://inc42.com/company/two-brothers-organic-farms/
90,C - Profit-adjacent (proxy),Nua,Nua (entity per filings),Feminine care,"Sanitary pads, period care subscription, wellness",Own site subscription + marketplaces,FY25,96.1,-7.00,-7.3,-6.8,-7.1,Near-breakeven loss,Medium,450,5.0,1.15,2456000,205000,491000,295000-737000,205000,,,https://inc42.com/company/nua/financials/
91,C - Profit-adjacent (proxy),Pee Safe,Redcliffe Hygiene Pvt Ltd,Hygiene & feminine care,"Toilet-seat sanitiser, menstrual care, intimate hygiene",Marketplaces + own site + offline,FY25,82.0,-4.00,-4.9,-3.4,-4.1,Near-breakeven loss,Medium,450,3.0,1.2,2187000,182000,729000,437000-1093000,182000,,,https://entrackr.com/fintrackr/pee-safe-reports-rs-82-cr-revenue-in-fy25-nears-breakeven-10973174
92,C - Profit-adjacent (proxy),Bacca Bucci,Bacca Bucci (entity per filings),Footwear,"Sneakers, boots, casual & sports footwear",Marketplace-led + own site,FY25,81.7,-3.90,-4.8,,,Near-breakeven loss,Medium,1500,1.4,1.15,626000,52000,447000,268000-671000,52000,,,https://startuppedia.in/trending/startup-news/childhood-friends-from-rajasthan-take-bacca-bucci-to-rs-817-crore-revenue-in-fy25-post-rs-39-crore-loss-11142714
93,C - Profit-adjacent (proxy),Suta,Suta (entity per filings),Fashion & apparel,"Handloom sarees, cotton & mulmul womenswear",Own site + stores,FY25,73.5,-0.30,-0.4,,,Breakeven (-0.3 Cr),Medium,3000,1.5,1.1,270000,22000,180000,108000-270000,22000,,,https://startuppedia.in/trending/startup-news/founded-with-rs-6-lakh-by-two-sisters-bootstrapped-fashion-brand-suta-reports-rs-735-crore-revenue-in-fy25-11176966
94,C - Profit-adjacent (proxy),Arata,Arata (entity per filings),Beauty & personal care,"Clean, plant-based hair & body care","Marketplaces 38%, own site 32%, quick-commerce 30%",FY25,61.1,,,,,PAT not found,Low,600,2.5,1.2,1222000,102000,489000,293000-733000,102000,"50,000+ D2C orders/month; 2 lakh B2B units/month","Disclosed: 50,000+ own-site orders/month.",https://inc42.com/startups/how-arata-grew-to-%E2%82%B961-cr-by-building-clean-beauty-as-a-habit/
95,C - Profit-adjacent (proxy),MyMuse,MyMuse (entity per filings),Sexual wellness,"Personal massagers, lubricants, intimacy products",Own site + marketplaces,FY25,54.0,-3.80,-7.0,-3.8,-7.0,Near-breakeven loss,Medium,2500,1.3,1.15,248000,21000,191000,115000-287000,21000,,,https://inc42.com/company/mymuse/financials/
96,C - Profit-adjacent (proxy),Re'equil,Re'equil (entity per filings),Beauty & personal care,"Dermatologist-style skincare - sunscreens, acne care",Own site + marketplaces,FY23,47.5,,,,,Bootstrapped; PAT not found (FY23 data only),Low,800,2.2,1.15,683000,57000,310000,186000-466000,57000,,,https://inc42.com/company/re-equil/
97,C - Profit-adjacent (proxy),Sleepy Owl,Sleepy Owl Coffee Pvt Ltd,Food & beverage,"Cold-brew packs, instant coffee, coffee pods",Own site + quick-commerce + modern trade,FY25,44.4,-2.10,-4.7,,,Near-breakeven loss,Medium,600,3.0,1.2,888000,74000,296000,178000-444000,74000,,,https://inc42.com/company/sleepy-owl/financials/|https://startuppedia.in/trending/startup-news/started-from-a-2-bhk-flat-and-with-rs-15-lakh-borrowed-money-3-friends-build-coffee-brand-sleepy-owl-revenue-doubles-to-rs-444-cr-in-fy25-11168720
98,C - Profit-adjacent (proxy),Conscious Chemist,Conscious Chemist (entity per filings),Beauty & personal care,"Skincare - acne care, serums, sunscreens",Marketplaces + own site,FY25,31.9,,,,,PAT not found,Low,600,2.2,1.15,611000,51000,278000,167000-417000,51000,,,https://inc42.com/company/conscious-chemist/
99,C - Profit-adjacent (proxy),Earth Rhythm,Earth Rhythm (entity per filings),Beauty & personal care,"Clean skincare, haircare, bath & body",Own site + marketplaces,FY25,26.7,,,,,PAT not found,Low,800,2.2,1.15,384000,32000,174000,105000-262000,32000,,,https://inc42.com/company/earth-rhythm/
100,C - Profit-adjacent (proxy),Juicy Chemistry,Juicy Chemistry (entity per filings),Beauty & personal care,"Certified-organic skincare, oils, haircare",Own site + marketplaces,FY25,20.6,,,,,PAT not found; bootstrapped,Low,1000,2.2,1.15,237000,20000,108000,65000-162000,20000,,,https://inc42.com/company/juicy-chemistry/
